Rank Team                            W-L-T    Rating
691  Alfred St                       1-7-0     -51.3
692  Westminster MO                  6-4-0     -51.3
693  Kansas Wesleyan                 2-9-0     -51.4
694  Lewis & Clark                   0-9-0     -51.6
695  Allegheny                       1-9-0     -52.4
696  FDU-Florham                     0-10-0     -53.4
697  Gallaudet                       2-7-0     -54.0
698  Dordt                           2-9-0     -54.8
699  Anderson                        2-8-0     -55.0
700  Plymouth St                     1-9-0     -55.5
701  Iowa Wesleyan                   6-4-0     -56.4
702  Missouri Baptist                1-10-0     -57.5
703  Knox                            2-8-0     -57.7
704  Nichols                         1-9-0     -58.1
705  Earlham                         0-10-0     -58.6
706  Crown                           4-6-0     -59.3
707  Aurora                          1-9-0     -59.5
708  Becker                          1-9-0     -60.5
709  Rockford                        2-8-0     -61.3
710  Mayville St                     2-9-0     -61.5
711  MacMurray                       3-7-0     -62.4
712  Concordia IL                    1-8-0     -63.6
713  Texas College                   0-11-0     -66.9
714  Martin Luther                   2-8-0     -67.7
715  Anna Maria                      0-10-0     -68.3
716  Minnesota-Morris                0-10-0     -69.1
717  Eureka                          2-8-0     -69.5
718  Lawrence                        2-8-0     -72.1
719  Trinity Bible                   2-7-0     -73.4
720  Haskell                         0-9-0     -77.9
721  Maranatha Baptist               0-6-0     -97.6
