Rank Team                            W-L-T    Rating
162  Idaho                           1-9-0      27.3
163  Colorado St-Pueblo              10-1-0      27.1
164  Troy                            3-8-0      26.8
165  North Carolina A&T              9-2-0      26.6
166  Bryant                          8-2-0      26.3
167  Charleston Southern             8-3-0      26.2
168  Harding                         9-1-0      25.9
169  New Mexico St                   2-8-0      25.7
170  Tennessee-Martin                5-6-0      25.6
171  UNLV                            2-9-0      25.6
172  Alcorn St                       9-2-0      25.0
173  The Citadel                     4-7-0      25.0
174  Tarleton St                     5-5-0      24.9
175  Angelo St                       8-2-0      24.6
176  Ohio Dominican                  9-1-0      24.2
177  Sacred Heart                    9-2-0      24.1
178  Stony Brook                     5-6-0      24.0
179  Yale                            8-1-0      23.5
180  Western Carolina                7-4-0      23.4
181  South Dakota                    2-9-0      23.4
182  Ashland                         8-2-0      23.2
183  Abilene Christian               6-6-0      23.1
184  Northern Arizona                7-4-0      23.1
185  Lenoir-Rhyne                    11-0-0      22.8
186  Wofford                         5-5-0      22.8
187  John Carroll                    9-1-0      22.6
188  Midwestern St                   6-4-0      22.6
189  Sacramento St                   6-5-0      22.4
190  SE Missouri St                  5-6-0      22.1
191  Albany NY                       6-5-0      21.5
192  Dartmouth                       7-2-0      21.5
193  Bucknell                        8-2-0      21.3
194  Weber St                        2-9-0      21.1
195  South Carolina St               7-4-0      21.0
196  SMU                             0-9-0      21.0
197  Carroll MT                      9-1-0      20.9
198  Bethune-Cookman                 8-3-0      20.9
199  West Georgia                    9-2-0      20.9
200  Mary Hardin-Baylor              10-0-0      20.7
201  Georgia St                      1-9-0      20.1
202  Wesley                          8-1-0      20.1
203  Mercer                          6-5-0      19.8
204  Duquesne                        5-6-0      19.7
205  Concord                         11-0-0      19.7
206  UNC-Charlotte                   4-6-0      19.2
207  Shepherd                        8-2-0      18.9
208  Bloomsburg                      10-1-0      18.7
209  Southern Utah                   2-9-0      18.7
210  Lamar                           7-4-0      18.7
211  Presbyterian                    6-5-0      18.6
212  Maine                           5-5-0      18.6
213  Michigan Tech                   9-1-0      18.4
214  Eastern New Mexico              7-4-0      18.3
215  West Chester                    10-1-0      18.2
216  Portland St                     3-8-0      18.2
217  Lafayette                       4-6-0      17.8
218  Tennessee St                    5-6-0      17.7
219  Henderson St                    9-2-0      17.7
220  UC-Davis                        2-8-0      17.5
221  Monmouth NJ                     5-5-0      16.8
222  Wagner                          6-4-0      16.8
223  St Francis PA                   5-5-0      16.6
224  Humboldt St                     8-2-0      16.5
225  Eastern Michigan                2-8-0      16.4
226  Florida Tech                    6-5-0      16.3
227  West Texas A&M                  6-5-0      16.2
228  West Alabama                    5-6-0      16.1
229  Furman                          3-8-0      16.0
230  Grand Valley St                 6-5-0      16.0
231  Murray St                       3-8-0      16.0
232  Delaware                        6-5-0      15.9
233  Linfield                        8-1-0      15.8
234  Holy Cross                      4-7-0      15.8
235  Tennessee Tech                  4-7-0      15.4
236  Colorado Mines                  10-1-0      15.3
237  Jacksonville FL                 9-2-0      15.2
238  Gannon                          8-2-0      15.1
239  North Carolina Central          6-5-0      14.6
240  Colgate                         4-7-0      14.4
241  Wayne St MI                     7-4-0      14.4
242  Northern Colorado               3-7-0      14.1
243  Lehigh                          3-7-0      14.1
244  Southern Oregon                 9-2-0      13.9
245  Ouachita Baptist                10-0-0      13.8
246  Slippery Rock                   9-2-0      13.6
247  Winston-Salem St                9-2-0      13.6
248  UW-Whitewater                   10-0-0      13.3
249  Elon                            1-10-0      13.2
250  Lindsey Wilson                  9-2-0      13.1
251  Wartburg                        10-0-0      13.0
252  Morgan St                       6-5-0      12.5
253  North Dakota                    4-7-0      12.3
254  Grand View                      9-1-0      11.4
255  Brown                           4-5-0      11.1
256  Azusa Pacific                   10-1-0      11.1
257  Indianapolis                    9-2-0      10.7
258  California PA                   8-2-0      10.5
259  Alabama St                      6-5-0      10.5
260  Towson                          4-7-0      10.2
261  Georgetown KY                   8-2-0      10.0
262  Kutztown                        6-5-0      10.0
263  Carson-Newman                   7-3-0       9.9
264  Morningside                     9-1-0       9.8
265  Princeton                       5-4-0       9.6
266  Assumption                      7-4-0       9.6
267  Charleston WV                   8-3-0       9.2
268  Mercyhurst                      7-4-0       9.1
269  Grambling St                    7-4-0       8.9
270  Chadron St                      8-3-0       8.9
271  Newberry                        5-6-0       8.8
272  Gardner-Webb                    4-7-0       8.6
273  Norfolk St                      4-7-0       8.2
274  LIU Post                        8-3-0       8.2
275  New Haven                       6-5-0       8.0
276  Central Conn St                 2-9-0       7.8
277  St Xavier                       8-2-0       7.8
278  American Int'l                  8-3-0       7.8
279  Central Washington              7-4-0       7.7
280  Hampton                         3-8-0       7.5
281  Pennsylvania                    1-8-0       7.3
282  Tuskegee                        9-2-0       7.3
283  Howard                          4-7-0       7.0
284  Findlay                         5-6-0       7.0
285  Southern U.                     8-3-0       6.9
286  Johns Hopkins                   10-0-0       6.8
287  Bentley                         5-6-0       6.5
288  Georgetown DC                   2-8-0       6.5
289  VMI                             2-9-0       6.3
290  North Greenville                6-5-0       6.1
291  Dayton                          7-3-0       5.9
292  Marian IN                       8-2-0       5.9
293  Prairie View A&M                5-5-0       5.8
294  Virginia St                     9-2-0       5.7
295  Eastern Oregon                  8-3-0       5.7
296  Florida A&M                     3-8-0       5.6
297  Catawba                         6-5-0       5.3
298  St Thomas                       8-2-0       5.2
299  Indiana PA                      6-5-0       4.9
300  Campbellsville                  7-3-0       4.9
301  San Diego                       9-1-0       4.9
302  Hillsdale                       4-7-0       4.7
303  St Joseph's IN                  8-3-0       4.5
304  Faulkner                        9-2-0       4.5
305  Rhode Island                    0-11-0       4.0
306  Drake                           6-4-0       4.0
307  Northern Michigan               3-8-0       3.9
308  Western Oregon                  6-5-0       3.8
309  Northwood                       5-6-0       3.4
310  Muhlenberg                      9-1-0       3.4
311  Widener                         10-0-0       3.4
312  Thomas More                     8-2-0       3.0
313  Alabama A&M                     4-7-0       2.9
314  St John Fisher                  8-2-0       2.5
315  Shippensburg                    6-5-0       1.7
316  Stonehill                       5-6-0       1.5
317  Wingate                         6-5-0       1.5
318  Mars Hill                       4-6-0       1.3
319  Southern Arkansas               5-5-0       1.3
320  Montana-Western                 6-5-0       1.3
321  Wabash                          9-1-0       1.2
322  UW-Oshkosh                      6-4-0       1.1
323  UW-Platteville                  7-3-0       1.0
324  East Central OK                 6-4-0       0.8
325  Incarnate Word                  2-9-0       0.7
326  Wash & Jeff                     9-1-0       0.3
327  Albany St GA                    7-3-0       0.1
328  Walsh                           4-7-0      -0.1
329  Marist                          4-7-0      -0.3
330  New Mexico Highlands            3-8-0      -0.6
331  SE Oklahoma St                  7-4-0      -0.7
332  East Stroudsburg                6-5-0      -0.8
333  Adams St                        4-7-0      -0.9
334  Heidelberg                      8-2-0      -0.9
335  St John's MN                    9-1-0      -1.1
336  Notre Dame OH                   7-4-0      -1.3
337  Reinhardt                       6-4-0      -1.3
338  Truman St                       6-4-0      -1.3
339  Alderson-Broaddus               7-4-0      -1.4
340  Merrimack                       4-7-0      -1.4
341  Saginaw Valley St               2-9-0      -1.5
342  Austin Peay                     1-10-0      -1.6
343  Shorter                         3-7-0      -2.0
344  Tusculum                        5-5-0      -2.0
345  Wittenberg                      9-1-0      -2.1
346  St Anselm                       6-5-0      -2.2
347  West Liberty                    6-5-0      -2.8
348  Concordia-Moorhead              8-2-0      -2.8
349  Colorado Mesa                   6-5-0      -2.9
350  William Penn                    7-4-0      -3.3
351  Miles                           6-4-0      -3.4
352  Chapman                         8-1-0      -3.4
353  Rocky Mountain                  5-6-0      -3.5
354  Delaware St                     2-9-0      -3.6
355  Cornell                         1-8-0      -3.6
356  Butler                          4-7-0      -3.8
357  Virginia Union                  7-3-0      -3.8
358  Lake Erie                       4-7-0      -3.9
359  Bethel MN                       7-3-0      -4.1
360  Western St CO                   4-7-0      -4.4
361  Bowie St                        5-5-0      -4.4
362  Glenville St                    5-6-0      -4.4
363  Jackson St                      4-7-0      -4.7
364  Missouri Valley                 8-2-0      -4.9
365  OK Panhandle St                 7-3-0      -4.9
366  Western New Mexico              5-6-0      -5.1
367  Redlands                        6-3-0      -5.5
368  North Central                   8-2-0      -6.3
369  St Francis IN                   6-5-0      -6.5
370  Texas Southern                  5-6-0      -6.5
371  Campbell                        5-6-0      -6.6
372  Ithaca                          7-3-0      -6.6
373  Delaware Valley                 9-1-0      -7.1
374  Robert Morris PA                1-9-0      -7.2
375  Buffalo St                      7-3-0      -7.3
376  McKendree                       5-6-0      -7.4
377  UNC-Pembroke                    2-8-0      -7.7
378  Nicholls St                     0-11-0      -7.8
379  Black Hills St                  3-8-0      -8.0
380  Robert Morris IL                8-3-0      -8.1
381  Southeastern U.                 7-3-0      -8.2
382  MidAmerica Nazarene             9-1-0      -8.4
383  Pacific Lutheran                7-2-0      -8.6
384  Central IA                      8-2-0      -8.6
385  Langston                        7-3-0      -8.7
386  Brevard                         0-10-0      -8.8
387  Quincy                          6-5-0      -8.9
388  Missouri S&T                    4-7-0      -8.9
389  Tiffin                          5-6-0      -9.2
